"Part Type","Designator","Footprint","Description"
"2K","RR1","T1",""
"5V926(PLL)","UG2","16TSSOP","PLL"
"AD8138","UB4","8SOIC150","Differential ADC driver"
"AD8138","UB12","8SOIC150","Differential ADC driver"
"AD8138","UB13","8SOIC150","Differential ADC driver"
"AD8138","UB5","8SOIC150","Differential ADC driver"
"AD8138","UB11","8SOIC150","Differential ADC driver"
"AD8138","UB8","8SOIC150","Differential ADC driver"
"AD8138","UB9","8SOIC150","Differential ADC driver"
"AD8138","UB14","8SOIC150","Differential ADC driver"
"AD8138","UB10","8SOIC150","Differential ADC driver"
"AD8138","UB16","8SOIC150","Differential ADC driver"
"AD8138","UB6","8SOIC150","Differential ADC driver"
"AD8138","UB15","8SOIC150","Differential ADC driver"
"AD8138","UB1","8SOIC150","Differential ADC driver"
"AD8138","UB2","8SOIC150","Differential ADC driver"
"AD8138","UB3","8SOIC150","Differential ADC driver"
"AD8138","UB7","8SOIC150","Differential ADC driver"
"AD8602","U1","SO-8",""
"AD9215","UA3","28TSSOP","ADC"
"AD9215","UA4","28TSSOP","ADC"
"AD9215","UA1","28TSSOP","ADC"
"AD9215","UA2","28TSSOP","ADC"
"AD9215","UA7","28TSSOP","ADC"
"AD9215","UA8","28TSSOP","ADC"
"AD9215","UA5","28TSSOP","ADC"
"AD9215","UA6","28TSSOP","ADC"
"AD9215","UA13","28TSSOP","ADC"
"AD9215","UA12","28TSSOP","ADC"
"AD9215","UA14","28TSSOP","ADC"
"AD9215","UA16","28TSSOP","ADC"
"AD9215","UA15","28TSSOP","ADC"
"AD9215","UA9","28TSSOP","ADC"
"AD9215","UA10","28TSSOP","ADC"
"AD9215","UA11","28TSSOP","ADC"
"ADG713","UE11","16SOIC150",""
"ADG713","UE10","16SOIC150",""
"ADG713","UE9","16SOIC150",""
"ADG713","UE15","16SOIC150",""
"ADG713","UE14","16SOIC150",""
"ADG713","UE16","16SOIC150",""
"ADG713","UE12","16SOIC150",""
"ADG713","UE13","16SOIC150",""
"ADG713","UE4","16SOIC150",""
"ADG713","UE3","16SOIC150",""
"ADG713","UE6","16SOIC150",""
"ADG713","UE5","16SOIC150",""
"ADG713","UE2","16SOIC150",""
"ADG713","UE7","16SOIC150",""
"ADG713","UE8","16SOIC150",""
"ADG713","UE1","16SOIC150",""
"BAV99","UDL5","SOT-23",""
"BAV99","UDL4","SOT-23",""
"BAV99","UDL6","SOT-23",""
"BAV99","UDL8","SOT-23",""
"BAV99","UDL7","SOT-23",""
"BAV99","UDL3","SOT-23",""
"BAV99","UDFL2","SOT-23",""
"BAV99","UDFL1","SOT-23",""
"BAV99","UDFL3","SOT-23",""
"BAV99","UDL2","SOT-23",""
"BAV99","UDL1","SOT-23",""
"C0608","Cib2","CHIP0805",""
"C0608","Cia5","CHIP0805",""
"C0608","Cib6","CHIP0805",""
"C0608","Cib1","CHIP0805",""
"C0608","Cia2","CHIP0805",""
"C0608","C9","CHIP0805",""
"C0608","Cia6","CHIP0805",""
"C0608","Cia1","CHIP0805",""
"C0608","Cic18","CHIP0805",""
"C0608","Cic19","CHIP0805",""
"C0608","C14","CHIP0805",""
"C0608","Cic22","CHIP0805",""
"C0608","Cic2","CHIP0805",""
"C0608","Cib5","CHIP0805",""
"C0608","Cic16","CHIP0805",""
"C0608","CP2","CHIP0805",""
"C0608","Cic1","CHIP1206",""
"C0608","CP1","CHIP1206",""
"C0608","C15","CHIP1206",""
"C0608S","Crf6","0805",""
"C0608S","Crf5","0805",""
"C0608S","Crf7","0805",""
"C0608S","Crf9","0805",""
"C0608S","Crf8","0805",""
"C0608S","C_clk5","0805",""
"C0608S","C_clk4","0805",""
"C0608S","C_clk3","0805",""
"C0608S","Crf1","0805",""
"C0608S","Crf4","0805",""
"C0608S","Crf3","0805",""
"C0608S","Crf2","0805",""
"C0608S","Cr5","1206",""
"C0608S","Cr4","1206",""
"C0608S","Cr3","1206",""
"C0608S","Cr8","1206",""
"C0608S","Cr7","1206",""
"C0608S","Cr6","1206",""
"C0608S","Cr2","1206",""
"C0608S","Cr14","1206",""
"C0608S","Cr13","1206",""
"C0608S","Cr16","1206",""
"C0608S","Cr15","1206",""
"C0608S","Cr12","1206",""
"C0608S","Cr9","1206",""
"C0608S","Cr1","1206",""
"C0608S","Cr11","1206",""
"C0608S","Cr10","1206",""
"C0608S","Cref16","CHIP0805",""
"C0608S","CAP61","CHIP0805",""
"C0608S","CAP62","CHIP0805",""
"C0608S","CA115","CHIP0805",""
"C0608S","CA104","CHIP0805",""
"C0608S","CA105","CHIP0805",""
"C0608S","CA85","CHIP0805",""
"C0608S","CA74","CHIP0805",""
"C0608S","CA75","CHIP0805",""
"C0608S","CA94","CHIP0805",""
