X	Y	Tool	Rotation
56700	47173	1	0
56550	46976	1	0
56700	46780	1	0
56550	46583	1	0
56700	46386	1	0
56550	46189	1	0
56700	45992	1	0
56550	45795	1	0
56700	45598	1	0
56550	45402	1	0
56700	45205	1	0
56550	45008	1	0
56700	44811	1	0
56550	44614	1	0
56700	44417	1	0
56550	44220	1	0
56700	44024	1	0
56550	43827	1	0
56700	43630	1	0
56550	43433	1	0
56700	43236	1	0
56550	43039	1	0
56700	42843	1	0
56550	42646	1	0
56700	42449	1	0
56550	42252	1	0
56700	42055	1	0
56550	41858	1	0
56700	41661	1	0
56550	41465	1	0
56700	41268	1	0
56550	41071	1	0
56700	40874	1	0
56550	40677	1	0
56700	40480	1	0
56550	40283	1	0
56700	40087	1	0
56550	39890	1	0
56700	39693	1	0
56550	39496	1	0
56700	39299	1	0
56550	39102	1	0
56700	38906	1	0
56550	38709	1	0
56700	38512	1	0
56550	38315	1	0
56700	38118	1	0
56550	37921	1	0
56700	37724	1	0
56550	37528	1	0
56700	37331	1	0
56550	37134	1	0
56700	36937	1	0
56550	36740	1	0
56700	36543	1	0
56550	36346	1	0
56700	36150	1	0
56550	35953	1	0
56700	35756	1	0
56550	35559	1	0
57636	34450	1	0
57833	34600	1	0
58030	34450	1	0
58226	34600	1	0
58423	34450	1	0
58620	34600	1	0
58817	34450	1	0
59014	34600	1	0
59211	34450	1	0
59407	34600	1	0
59604	34450	1	0
59801	34600	1	0
59998	34450	1	0
60195	34600	1	0
60392	34450	1	0
60589	34600	1	0
60785	34450	1	0
60982	34600	1	0
61179	34450	1	0
61376	34600	1	0
61573	34450	1	0
61770	34600	1	0
61967	34450	1	0
62163	34600	1	0
62360	34450	1	0
62557	34600	1	0
62754	34450	1	0
62951	34600	1	0
63148	34450	1	0
63344	34600	1	0
63541	34450	1	0
63738	34600	1	0
63935	34450	1	0
64132	34600	1	0
64329	34450	1	0
64526	34600	1	0
64722	34450	1	0
64919	34600	1	0
65116	34450	1	0
65313	34600	1	0
65510	34450	1	0
65707	34600	1	0
65904	34450	1	0
66100	34600	1	0
66297	34450	1	0
66494	34600	1	0
66691	34450	1	0
66888	34600	1	0
67085	34450	1	0
67281	34600	1	0
67478	34450	1	0
67675	34600	1	0
67872	34450	1	0
68069	34600	1	0
68266	34450	1	0
68463	34600	1	0
68659	34450	1	0
68856	34600	1	0
69053	34450	1	0
69250	34600	1	0
70200	35559	1	0
70350	35756	1	0
70200	35953	1	0
70350	36150	1	0
70200	36346	1	0
70350	36543	1	0
70200	36740	1	0
70350	36937	1	0
70200	37134	1	0
70350	37331	1	0
70200	37528	1	0
70350	37724	1	0
70200	37921	1	0
70350	38118	1	0
70200	38315	1	0
70350	38512	1	0
70200	38709	1	0
70350	38906	1	0
70200	39102	1	0
70350	39299	1	0
70200	39496	1	0
70350	39693	1	0
70200	39890	1	0
70350	40087	1	0
70200	40283	1	0
70350	40480	1	0
70200	40677	1	0
70350	40874	1	0
70200	41071	1	0
70350	41268	1	0
70200	41465	1	0
70350	41661	1	0
70200	41858	1	0
70350	42055	1	0
70200	42252	1	0
70350	42449	1	0
70200	42646	1	0
70350	42843	1	0
70200	43039	1	0
70350	43236	1	0
70200	43433	1	0
70350	43630	1	0
70200	43827	1	0
70350	44024	1	0
70200	44220	1	0
70350	44417	1	0
70200	44614	1	0
70350	44811	1	0
70200	45008	1	0
70350	45205	1	0
70200	45402	1	0
70350	45598	1	0
70200	45795	1	0
70350	45992	1	0
70200	46189	1	0
70350	46386	1	0
70200	46583	1	0
70350	46780	1	0
70200	46976	1	0
70350	47173	1	0
57636	48150	1	0
57833	48300	1	0
58030	48150	1	0
58226	48300	1	0
58423	48150	1	0
58620	48300	1	0
58817	48150	1	0
59014	48300	1	0
59211	48150	1	0
59407	48300	1	0
59604	48150	1	0
59801	48300	1	0
59998	48150	1	0
60195	48300	1	0
60392	48150	1	0
60589	48300	1	0
60785	48150	1	0
60982	48300	1	0
61179	48150	1	0
61376	48300	1	0
61573	48150	1	0
61770	48300	1	0
61967	48150	1	0
62163	48300	1	0
62360	48150	1	0
62557	48300	1	0
62754	48150	1	0
62951	48300	1	0
63148	48150	1	0
63344	48300	1	0
63541	48150	1	0
63738	48300	1	0
63935	48150	1	0
64132	48300	1	0
64329	48150	1	0
64526	48300	1	0
64722	48150	1	0
64919	48300	1	0
65116	48150	1	0
65313	48300	1	0
65510	48150	1	0
65707	48300	1	0
65904	48150	1	0
66100	48300	1	0
66297	48150	1	0
66494	48300	1	0
66691	48150	1	0
66888	48300	1	0
67085	48150	1	0
67281	48300	1	0
67478	48150	1	0
67675	48300	1	0
67872	48150	1	0
68069	48300	1	0
68266	48150	1	0
68463	48300	1	0
68659	48150	1	0
68856	48300	1	0
69053	48150	1	0
69250	48300	1	0
