Footprint	Comment	Designator	MidX	MidY	TB	Rotation	Feeder	Tool Position
402	100	R29_Digit_	4940.945	4330.709	T	90.00		
402	100	R30_Digit_	4940.945	4409.449	T	90.00		
402	100	R36_Digit_	4940.945	4488.189	T	270.00		
402	100	R35_Digit_	4940.945	4566.929	T	270.00		
402	100	R34_Digit_	4940.945	4645.669	T	270.00		
402	100	R33_Digit_	4940.945	4724.409	T	270.00		
402	100	R39_Digit_	4940.945	4822.835	T	90.00		
402	100	R32_Digit_	4940.945	4901.575	T	270.00		
402	100	R31_Digit_	4940.945	4980.315	T	270.00		
402	100	R29_Digit_	4940.945	5059.055	T	90.00		
402	100	R30_Digit_	4940.945	5137.795	T	90.00		
402	100	R36_Digit_	4940.945	5216.535	T	270.00		
402	100	R35_Digit_	4940.945	5295.275	T	270.00		
402	100	R34_Digit_	5019.685	5354.331	T	180.00		
402	100	R31_Digit_	5157.48	4311.024	T	360.00		
402	100	R33_Digit_	5177.166	5452.756	T	270.00		
402	100	R139_Digit	5216.535	4858.268	B	180.00		
402	100	R32_Digit_	5244.095	4291.338	T	270.00		
402	100	R39_Digit_	5251.968	5452.756	T	90.00		
402	100	R139_Digit	5295.276	5192.913	B	90.00		
402	100	R39_Digit_	5307.087	4291.338	T	90.00		
402	100	R32_Digit_	5314.961	5448.819	T	270.00		
402	100	R33_Digit_	5370.079	4291.338	T	270.00		
402	100	R31_Digit_	5377.953	5452.756	T	270.00		
402	100	R34_Digit_	5433.071	4291.338	T	270.00		
402	100	R29_Digit_	5440.945	5452.758	T	90.00		
402	100	R139_Digit	5488.189	4527.559	B	270.00		
402	100	R35_Digit_	5496.063	4291.338	T	270.00		
402	100	R30_Digit_	5503.937	5452.756	T	90.00		
402	100	R36_Digit_	5559.055	4291.338	T	270.00		
402	0.1uF	C36	5137.795	4370.079	B	360.00		
402	0.1uF	C35	5137.795	5314.96	B	360.00		
402	0.1uF	C24	5196.85	4763.779	B	360.00		
402	0.1uF	C39	5216.535	4606.299	B	360.00		
402	0.1uF	C34	5216.535	5078.74	B	360.00		
402	0.1uF	C28	5216.535	5157.48	B	360.00		
402	0.1uF	C138	5255.905	4929.134	B	360.00		
402	0.1uF	C19	5311.024	5098.425	B	360.00		
402	0.1uF	C21	5314.961	4507.874	B	90.00		
402	0.1uF	C20	5334.646	4586.614	B	180.00		
402	0.1uF	C51	5334.646	4779.528	B	360.00		
402	0.1uF	C42	5374.016	4700.788	B	180.00		
402	0.1uF	C139	5374.016	5177.165	B	180.00		
402	0.1uF	C49	5397.638	4799.212	B	315.00		
402	0.1uF	C52	5397.638	4917.323	B	315.00		
402	0.1uF	C31	5413.386	5216.535	B	360.00		
402	0.1uF	C27	5452.756	4515.748	B	90.00		
402	0.1uF	C155	5466.675	4758.014	B	225.00		
402	0.1uF	C154	5468.504	4925.197	B	135.00		
402	0.1uF	C45	5480.315	4992.126	B	315.00		
402	0.1uF	C43	5492.126	4704.724	B	90.00		
402	0.1uF	C18	5531.496	4665.354	B	270.00		
402	0.1uF	C29	5551.181	4547.244	B	270.00		
402	0.1uF	C26	5551.181	5177.165	B	270.00		
402	0.1uF	C156	5594.488	4996.063	B	315.00		
402	0.1uF	C41	5610.236	4740.157	B	270.00		
402	0.1uF	C44	5645.669	4901.575	B	360.00		
402	0.1uF	C46	5653.543	4783.464	B	360.00		
402	0.1uF	C50	5665.354	4996.063	B	225.00		
402	0.1uF	C48	5688.976	4704.724	B	270.00		
402	0.1uF	C33	5688.976	5177.165	B	270.00		
402	0.1uF	C25	5704.724	4531.496	B	135.00		
402	0.1uF	C153	5728.347	4980.315	B	90.00		
402	0.1uF	C140	5751.968	5275.591	B	270.00		
402	0.1uF	C17	5807.087	4586.614	B	180.00		
402	0.1uF	C137	5807.087	5059.055	B	180.00		
402	0.1uF	C47	5807.087	5098.425	B	180.00		
402	0.1uF	C22	5846.457	4507.874	B	90.00		
402	0.1uF	C32	5846.457	5177.165	B	270.00		
402	0.1uF	C23	5885.827	4645.669	B	180.00		
402	0.1uF	C40	5885.827	4728.347	B	180.00		
402	0.1uF	C30	5885.827	5019.685	B	180.00		
402	0.1uF	C37	5964.567	4370.079	B	180.00		
402	0.1uF	C38	5964.567	5314.961	B	180.00		
369A-13	LD1117-1.25V	Uref7	5622.047	3169.291	T	90.00		
369A-13	NCP1117-1.8V	Uref1	3944.882	4381.299	T	270.00		
369A-13	NCP1117-1.8V	Uref3	4874.016	2764.37	T	90.00		
369A-13	NCP1117-2.5V	Uref6	5622.047	2854.331	T	90.00		
369A-13	NCP1117-3.3V	Uref5	3688.976	5286.811	T	270.00		
369A-13	NCP1117-3.3V	Uref4	6031.496	3169.882	T	270.00		
369A-13	NCP1117-5V	Uref2	2764.37	5185.039	T	360.00		
8SO200	DS90LV001	UFL2	6153.307	3759.646	T	270.00		
8SO200	EPCS16SI8N	U6	6228.583	4760.039	T	90.00		
chip0603	20	Rsh20_Digi	3098.425	2980.315	B	360.00		
chip0603	20	Rsh19_Digi	3098.425	3204.724	B	360.00		
chip0603	20	Rsh18_Digi	3098.425	3421.26	B	360.00		
chip0603	20	Rsh17_Digi	3098.425	3645.669	B	360.00		
chip0603	20	Rsh20_Digi	3098.425	3874.016	B	360.00		
chip0603	20	Rsh19_Digi	3098.425	4098.425	B	360.00		
chip0603	20	Rsh18_Digi	3098.425	5653.543	B	360.00		
chip0603	20	Rsh17_Digi	3098.425	5877.953	B	360.00		
chip0603	20	Rsh20_Digi	3098.425	6110.236	B	360.00		
chip0603	20	Rsh19_Digi	3098.425	6334.646	B	360.00		
chip0603	20	Rsh18_Digi	3098.425	6551.181	B	360.00		
chip0603	20	Rsh17_Digi	3098.425	6775.591	B	360.00		
chip0603	20	Rsh36_Digi	3279.528	3031.496	B	180.00		
chip0603	20	Rsh35_Digi	3279.528	3255.905	B	180.00		
chip0603	20	Rsh34_Digi	3279.528	3472.441	B	180.00		
chip0603	20	Rsh33_Digi	3279.528	3696.85	B	180.00		
chip0603	20	Rsh36_Digi	3279.528	3925.197	B	180.00		
chip0603	20	Rsh35_Digi	3279.528	4149.606	B	180.00		
chip0603	20	Rsh34_Digi	3279.528	5704.724	B	180.00		
chip0603	20	Rsh33_Digi	3279.528	5929.134	B	180.00		
chip0603	20	Rsh36_Digi	3279.528	6161.417	B	180.00		
chip0603	20	Rsh35_Digi	3279.528	6385.827	B	180.00		
chip0603	20	Rsh34_Digi	3279.528	6602.362	B	180.00		
chip0603	20	Rsh33_Digi	3279.528	6826.772	B	180.00		
chip0603	51	R2_Digit_2	3767.716	5500	T	360.00		
chip0603	51	R4_Digit_3	3767.716	2814.961	T	360.00		
chip0603	51	R3_Digit_3	3767.716	3196.85	T	360.00		
chip0603	51	R2_Digit_3	3767.716	3267.716	T	360.00		
chip0603	51	R1_Digit_3	3767.716	3637.795	T	360.00		
chip0603	51	R4_Digit_2	3767.716	3708.661	T	360.00		
chip0603	51	R3_Digit_2	3767.716	4090.551	T	360.00		
chip0603	51	R1_Digit_2	3767.716	5870.079	T	360.00		
chip0603	51	R4_Digit_1	3767.716	5944.882	T	360.00		
chip0603	51	R3_Digit_1	3767.716	6326.772	T	360.00		
